"file.outcome"	"outcome"	"population"	"pmid"	"study"	"ncase"	"ncontrol"	"UKbiobank"	"rsid"	"Effect.Allele"	"Other.Allele"	"lnor"	"se"	"eaf"	"p"	"info"	"info1"	"info2"	"info3"	"HWEp"	"phet"	"I2"	"Q"	"Direction"	"effect_allele_confirmed"	"ID"	"test_statistic"	"all_summary_stats"	"summary_set"	"open_gwas"	"efo"	"MAC_case"	"MAC_control"	"z"	"mean_info"	"Nstudies"	"Nstudies_median"
"bcc1.txt"	"Basal cell skin carcinoma"	"European"	"27539887"	"23NMSC"	12945	274252	FALSE	"rs2524299"	"T"	"A"	-0.0184524	0.0200827	0.12434	0.357298	0.99621	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1	NA	TRUE	"full summary stats"	FALSE	"basal cell carcinoma"	3219.1626	68200.98736	-0.918820676502662	0.99621	NA	NA
"scc2.txt"	"Squamous cell skin carcinoma"	"European"	"27424798"	"23NMSC"	6579	280558	FALSE	"rs2524299"	"T"	"A"	0.0033139	0.0274508	0.12434	0.903946	0.99621	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2	NA	TRUE	"full summary stats"	FALSE	"cutaneous squamous cell carcinoma"	1636.06572	69769.16344	0.120721436169438	0.99621	NA	NA
"hpc23.txt"	"Hepatocellular carcinoma in chronic hepatitis B virus carriers"	"East Asian"	"22807686"	"CHC"	1538	1465	FALSE	"rs2524299"	"T"	"A"	-0.016942720730312	0.1036	0.4003	0.8698	0.995934	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	23	-0.1639	FALSE	"FAsnps"	FALSE	NA	1231.3228	1172.879	-0.163539775389112	0.995934	NA	NA
"enc25.txt"	"Endometrial cancer"	"European"	"30093612"	"ECAC"	12906	108979	TRUE	"rs2524299"	"T"	"A"	-0.00330356	0.0235	0.127241875	0.888204	0.999	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	25	NA	TRUE	"full summary stats"	FALSE	"endometrial carcinoma"	3284.3672775	27733.38459125	-0.140577021276596	0.999	NA	NA
"thyroid26.txt"	"Thyroid cancer"	"European"	"unpublished"	"EPITHYR"	1554	1973	FALSE	"rs2524299"	"T"	"A"	0.025384059	0.078169464	0.115238027	0.745384565	0.996	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	26	NA	FALSE	"FAsnps"	NA	NA	358.159787916	454.729254542	0.324731137979915	0.996	NA	NA
"hodgkin69.txt"	"Hodgkin lymphoma"	"European"	"29196614"	"HLS"	3077	13680	FALSE	"rs2524299"	"T"	"A"	-0.00454499	0.0450504	0.118736	0.91964	NA	0.99677	0.9961	0.994	NA	0.180732	41.5457	"3.42148"	NA	TRUE	69	NA	FALSE	"FAsnps"	NA	NA	730.701344	3248.61696	-0.100886784579049	0.995623333333333	NA	NA
"oral80.txt"	"Oral cancer"	"European"	"27749845"	"INHANCE"	2990	6585	FALSE	"rs2524299"	"T"	"A"	-0.0325231917055601	0.0483513186712431	0.1405	0.5114	0.9909	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	80	NA	FALSE	"FAsnps"	FALSE	NA	840.19	1850.385	-0.672643323891459	0.9909	NA	NA
"headneck81.txt"	"Oral cavity and pharyngeal cancer"	"European"	"27749845"	"INHANCE"	6034	6585	FALSE	"rs2524299"	"T"	"A"	-0.0165359686400995	0.0384379230880791	0.1405	0.6801	0.9909	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	81	NA	FALSE	"FAsnps"	FALSE	NA	1695.554	1850.385	-0.430199326904524	0.9909	NA	NA
"oropharyngeal82.txt"	"Oropharyngeal cancer"	"European"	"27749845"	"INHANCE"	2641	6585	FALSE	"rs2524299"	"T"	"A"	-0.023882940463332	0.0510729379133146	0.1405	0.6529	0.9909	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	82	NA	FALSE	"FAsnps"	FALSE	NA	742.121	1850.385	-0.467624175132987	0.9909	NA	NA
"mzl86.txt"	"Marginal zone lymphoma"	"European"	"25569183"	"InterLymph"	824	6221	FALSE	"rs2524299"	"T"	"A"	-0.1195	0.0816	0.1349	0.14294	0.99468	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	86	NA	TRUE	"full summary stats"	FALSE	"marginal zone B-cell lymphoma"	222.3152	1678.4258	-1.46446078431373	0.99468	NA	NA
