region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	max	min	bp	traits_nice_names	dropped_trait_nice_names
ELOVL2	1	T6, T10, T23, T29	0.6396	0.8653	rs1225717	0.8913	NA	11481132	10483813	997319	GLA:LA / D6D (Shin), DHA:DPAn3 / ELOVL2 (Framingham), POA:PA / SCD (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA
ELOVL2	2	None	NA	0.0548	NA	NA	T9	11481132	10483813	997319	NA	DHA:DPAn3 / ELOVL2 (CHARGE)
ELOVL2	3	None	NA	0.078	NA	NA	T3	11481132	10483813	997319	NA	AA:DGLA / D5D (Shin)
ELOVL2	4	None	NA	0.1032	NA	NA	T11	11481132	10483813	997319	NA	DHA:DPAn3 / ELOVL2 (Shin)
ELOVL2	5	None	NA	0.0024	NA	NA	T17	11481132	10483813	997319	NA	DPAn3:EPA / ELOVL2/5 (Shin)
ELOVL2	6	None	NA	0.0024	NA	NA	T26	11481132	10483813	997319	NA	OA:SA / SCD (Shin)
ELOVL2	7	None	NA	0.0017	NA	NA	T14	11481132	10483813	997319	NA	ADA:AA / ELOVL2/5 (Shin)
ELOVL2	8	None	NA	0.0015	NA	NA	T27	11481132	10483813	997319	NA	ELOVL2 expression in Adipose Subcutaneous (GTEx) mac=74
ELOVL2	9	None	NA	0.0014	NA	NA	T18	11481132	10483813	997319	NA	DGLA:GLA / ELOVL5 (CHARGE)
ELOVL2	10	None	NA	0.0013	NA	NA	T19	11481132	10483813	997319	NA	DGLA:GLA / ELOVL5 (Framingham)
ELOVL2	11	None	NA	0.0013	NA	NA	T8	11481132	10483813	997319	NA	DPAn6:AA / ELOVL2 (Shin)
ELOVL2	12	None	NA	9e-04	NA	NA	T20	11481132	10483813	997319	NA	DGLA:GLA / ELOVL5 (Shin)
ELOVL2	13	None	NA	6e-04	NA	NA	T16	11481132	10483813	997319	NA	DPAn3:EPA / ELOVL2/5 (Framingham)
ELOVL2	14	None	NA	3e-04	NA	NA	T28	11481132	10483813	997319	NA	ELOVL2 expression in Adipose Visceral Omentum (GTEx) mac=74
ELOVL2	15	None	NA	1e-04	NA	NA	T1	11481132	10483813	997319	NA	AA:DGLA / D5D (CHARGE)
ELOVL2	16	None	NA	1e-04	NA	NA	T2	11481132	10483813	997319	NA	AA:DGLA / D5D (Framingham)
ELOVL2	17	None	NA	0	NA	NA	T15	11481132	10483813	997319	NA	DPAn3:EPA / ELOVL2/5 (CHARGE)
ELOVL2	18	None	NA	0	NA	NA	T24	11481132	10483813	997319	NA	OA:SA / SCD (CHARGE)
ELOVL2	19	None	NA	0	NA	NA	T7	11481132	10483813	997319	NA	DPAn6:AA / ELOVL2 (Framingham)
ELOVL2	20	None	NA	0	NA	NA	T5	11481132	10483813	997319	NA	GLA:LA / D6D (Framingham)
ELOVL2	21	None	NA	0	NA	NA	T12	11481132	10483813	997319	NA	ADA:AA / ELOVL2/5 (CHARGE)
ELOVL2	22	None	NA	0	NA	NA	T13	11481132	10483813	997319	NA	ADA:AA / ELOVL2/5 (Framingham)
ELOVL2	23	None	NA	0	NA	NA	T22	11481132	10483813	997319	NA	POA:PA / SCD (Framingham)
ELOVL2	24	None	NA	0	NA	NA	T4	11481132	10483813	997319	NA	GLA:LA / D6D (CHARGE)
ELOVL2	25	None	NA	0	NA	NA	T21	11481132	10483813	997319	NA	POA:PA / SCD (CHARGE)
FADS1	1	T5, T9, T10, T12, T13, T15, T16, T17, T21, T24, T25, T27, T28, T29, T30	0.4177	0.5363	rs174547	0.6732	NA	62040838	61046610	994228	GLA:LA / D6D (Framingham), DHA:DPAn3 / ELOVL2 (CHARGE), DHA:DPAn3 / ELOVL2 (Framingham), ADA:AA / ELOVL2/5 (CHARGE), ADA:AA / ELOVL2/5 (Framingham), DPAn3:EPA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (Framingham), DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), OA:SA / SCD (CHARGE), OA:SA / SCD (Framingham), FADS1 expression in Adipose Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole Blood (GTEx) mac=86	NA
FADS1	2	T2, T18	0.9952	1	rs174555	1	NA	62040838	61046610	994228	AA:DGLA / D5D (Framingham), DGLA:GLA / ELOVL5 (CHARGE)	NA
FADS1	3	T1, T4	0.5776	1	rs174546	0.8627	NA	62040838	61046610	994228	AA:DGLA / D5D (CHARGE), GLA:LA / D6D (CHARGE)	NA
FADS1	4	None	NA	1	NA	NA	T11	62040838	61046610	994228	NA	DHA:DPAn3 / ELOVL2 (Shin)
FADS1	5	T14, T19	0.9976	1	rs174556	1	NA	62040838	61046610	994228	ADA:AA / ELOVL2/5 (Shin), DGLA:GLA / ELOVL5 (Framingham)	NA
FADS1	6	T3, T31	1	1	rs968567	1	NA	62040838	61046610	994228	AA:DGLA / D5D (Shin), FADS1 expression in blood (eQTLGen)	NA
FADS1	7	None	NA	0.4717	NA	NA	T6	62040838	61046610	994228	NA	GLA:LA / D6D (Shin)
FADS1	8	None	NA	0.0071	NA	NA	T26	62040838	61046610	994228	NA	OA:SA / SCD (Shin)
FADS1	9	None	NA	0.0012	NA	NA	T8	62040838	61046610	994228	NA	DPAn6:AA / ELOVL2 (Shin)
FADS1	10	None	NA	0.0011	NA	NA	T20	62040838	61046610	994228	NA	DGLA:GLA / ELOVL5 (Shin)
FADS1	11	None	NA	1e-04	NA	NA	T23	62040838	61046610	994228	NA	POA:PA / SCD (Shin)
FADS1	12	None	NA	0	NA	NA	T22	62040838	61046610	994228	NA	POA:PA / SCD (Framingham)
FADS2	1	T5, T9, T12, T13, T24	0.8994	1	rs102275	0.3782	NA	62040838	61046610	994228	GLA:LA / D6D (Framingham), DHA:DPAn3 / ELOVL2 (CHARGE), ADA:AA / ELOVL2/5 (CHARGE), ADA:AA / ELOVL2/5 (Framingham), OA:SA / SCD (CHARGE)	NA
FADS2	2	T2, T15, T16, T18	0.4992	0.8282	rs174555	1	NA	62040838	61046610	994228	AA:DGLA / D5D (Framingham), DPAn3:EPA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (Framingham), DGLA:GLA / ELOVL5 (CHARGE)	NA
FADS2	3	T3, T27	0.9997	1	rs968567	1	NA	62040838	61046610	994228	AA:DGLA / D5D (Shin), FADS2 expression in Adipose Subcutaneous (GTEx) mac=86	NA
FADS2	4	None	NA	1	NA	NA	T4	62040838	61046610	994228	NA	GLA:LA / D6D (CHARGE)
FADS2	5	None	NA	1	NA	NA	T14	62040838	61046610	994228	NA	ADA:AA / ELOVL2/5 (Shin)
FADS2	6	T28, T30, T31	0.9987	1	rs968567	1	NA	62040838	61046610	994228	FADS2 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS2 expression in Whole Blood (GTEx) mac=86, FADS2 expression in blood (eQTLGen)	NA
FADS2	7	T10, T11, T17, T21, T25	0.8117	0.9988	rs1535	1	NA	62040838	61046610	994228	DHA:DPAn3 / ELOVL2 (Framingham), DHA:DPAn3 / ELOVL2 (Shin), DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), OA:SA / SCD (Framingham)	NA
FADS2	8	None	NA	1	NA	NA	T19	62040838	61046610	994228	NA	DGLA:GLA / ELOVL5 (Framingham)
FADS2	9	None	NA	0.1247	NA	NA	T1	62040838	61046610	994228	NA	AA:DGLA / D5D (CHARGE)
FADS2	10	None	NA	0.4717	NA	NA	T6	62040838	61046610	994228	NA	GLA:LA / D6D (Shin)
FADS2	11	None	NA	0.0071	NA	NA	T26	62040838	61046610	994228	NA	OA:SA / SCD (Shin)
FADS2	12	None	NA	0.0012	NA	NA	T8	62040838	61046610	994228	NA	DPAn6:AA / ELOVL2 (Shin)
FADS2	13	None	NA	0.0011	NA	NA	T20	62040838	61046610	994228	NA	DGLA:GLA / ELOVL5 (Shin)
FADS2	14	None	NA	8e-04	NA	NA	T23	62040838	61046610	994228	NA	POA:PA / SCD (Shin)
FADS2	15	None	NA	0	NA	NA	T29	62040838	61046610	994228	NA	FADS2 expression in Liver (GTEx) mac=86
FADS2	16	None	NA	0	NA	NA	T22	62040838	61046610	994228	NA	POA:PA / SCD (Framingham)
SCD	1	T6, T26	0.9761	0.9993	rs2305384	1	NA	102571560	101576960	994600	GLA:LA / D6D (Shin), OA:SA / SCD (Shin)	NA
SCD	2	None	NA	0.4058	NA	NA	T31	102571560	101576960	994600	NA	SCD expression in blood (eQTLGen)
SCD	3	T17, T21, T22, T27, T28	0.8763	0.8793	rs603424	1	NA	102571560	101576960	994600	DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), POA:PA / SCD (Framingham), SCD expression in Adipose Subcutaneous (GTEx) mac=65, SCD expression in Adipose Visceral Omentum (GTEx) mac=65	NA
SCD	4	T3, T11	0.8702	0.8745	rs1993110	0.9999	NA	102571560	101576960	994600	AA:DGLA / D5D (Shin), DHA:DPAn3 / ELOVL2 (Shin)	NA
SCD	5	None	NA	0.0302	NA	NA	T23	102571560	101576960	994600	NA	POA:PA / SCD (Shin)
SCD	6	None	NA	0.0151	NA	NA	T15	102571560	101576960	994600	NA	DPAn3:EPA / ELOVL2/5 (CHARGE)
SCD	7	None	NA	0.0015	NA	NA	T24	102571560	101576960	994600	NA	OA:SA / SCD (CHARGE)
SCD	8	None	NA	0.0012	NA	NA	T14	102571560	101576960	994600	NA	ADA:AA / ELOVL2/5 (Shin)
SCD	9	None	NA	0.001	NA	NA	T18	102571560	101576960	994600	NA	DGLA:GLA / ELOVL5 (CHARGE)
SCD	10	None	NA	9e-04	NA	NA	T19	102571560	101576960	994600	NA	DGLA:GLA / ELOVL5 (Framingham)
SCD	11	None	NA	9e-04	NA	NA	T8	102571560	101576960	994600	NA	DPAn6:AA / ELOVL2 (Shin)
SCD	12	None	NA	8e-04	NA	NA	T20	102571560	101576960	994600	NA	DGLA:GLA / ELOVL5 (Shin)
SCD	13	None	NA	6e-04	NA	NA	T29	102571560	101576960	994600	NA	SCD expression in Liver (GTEx) mac=65
SCD	14	None	NA	3e-04	NA	NA	T1	102571560	101576960	994600	NA	AA:DGLA / D5D (CHARGE)
SCD	15	None	NA	3e-04	NA	NA	T30	102571560	101576960	994600	NA	SCD expression in Whole Blood (GTEx) mac=65
SCD	16	None	NA	2e-04	NA	NA	T2	102571560	101576960	994600	NA	AA:DGLA / D5D (Framingham)
SCD	17	None	NA	1e-04	NA	NA	T16	102571560	101576960	994600	NA	DPAn3:EPA / ELOVL2/5 (Framingham)
SCD	18	None	NA	0	NA	NA	T9	102571560	101576960	994600	NA	DHA:DPAn3 / ELOVL2 (CHARGE)
SCD	19	None	NA	0	NA	NA	T10	102571560	101576960	994600	NA	DHA:DPAn3 / ELOVL2 (Framingham)
SCD	20	None	NA	0	NA	NA	T5	102571560	101576960	994600	NA	GLA:LA / D6D (Framingham)
SCD	21	None	NA	0	NA	NA	T25	102571560	101576960	994600	NA	OA:SA / SCD (Framingham)
SCD	22	None	NA	0	NA	NA	T13	102571560	101576960	994600	NA	ADA:AA / ELOVL2/5 (Framingham)
SCD	23	None	NA	0	NA	NA	T7	102571560	101576960	994600	NA	DPAn6:AA / ELOVL2 (Framingham)
SCD	24	None	NA	0	NA	NA	T4	102571560	101576960	994600	NA	GLA:LA / D6D (CHARGE)
