nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	traits
1288	0	0	0.713167652593945	0.2424783291944	0.0443540182114479	Lung adenocarcinoma ILCCO & AA:DGLA / D5D (CHARGE)
1288	0	0	0.729975492544928	0.248216617517476	0.021807889937546	Lung adenocarcinoma ILCCO & AA:DGLA / D5D (Framingham)
1288	0.00228020914607527	0.000775417166469319	0.501571330040792	0.170241248131478	0.325131795515185	Lung adenocarcinoma ILCCO & FADS1 expression in adipose subcutaneous in GTEx (median MAC=206, min=10, max=580)
1288	0.0618926627995805	0.0210474698322728	0.639367840289549	0.217365693513021	0.0603263335655761	Lung adenocarcinoma ILCCO & FADS1 expression in adipose visceral omentum in GTEx (median MAC=173, min=10, max=468)
1288	0.0247709314925295	0.00842370338782459	0.683648978555966	0.232433720580791	0.0507226659828888	Lung adenocarcinoma ILCCO & FADS1 expression in liver in GTEx (median MAC=74, min=5, max=208)
1288	0.0743754611838006	0.0252924208576469	0.505991521416983	0.171847034564416	0.222493561977154	Lung adenocarcinoma ILCCO & FADS1 expression in lung in GTEx (median MAC=185, min=10, max=510)
1288	0.00296662779860125	0.00100884347627494	0.698909602558431	0.237614532519896	0.059500393646797	Lung adenocarcinoma ILCCO & FADS1 expression in whole blood in GTEx (median MAC=238, min=11, max=662)
1288	0	0	0.70412591460894	0.239391430482121	0.0564826549090209	Lung adenocarcinoma ILCCO & FADS1 expression in blood in eQTLGen (Median N=31236, min=6855, max=31684)


