region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	min	max	bp	traits_nice_names	dropped_trait_nice_names	study_group
ELOVL2	1	T4, T11	0.964	0.98	rs2236212	0.8487	NA	10483813	11481132	997319	DHA:DPAn3 (CHARGE), ELOVL2 expression in Liver (GTEx) mac=74	NA	CHARGE
ELOVL2	2	None	NA	0.0015	NA	NA	T9	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	CHARGE
ELOVL2	3	None	NA	0.001	NA	NA	T3	10483813	11481132	997319	NA	DGLA:GLA (CHARGE)	CHARGE
ELOVL2	4	None	NA	3e-04	NA	NA	T10	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Visceral_Omentum (GTEx) mac=74	CHARGE
ELOVL2	5	None	NA	1e-04	NA	NA	T1	10483813	11481132	997319	NA	AA:DGLA (CHARGE)	CHARGE
ELOVL2	6	None	NA	0	NA	NA	T5	10483813	11481132	997319	NA	DPAn3:EPA (CHARGE)	CHARGE
ELOVL2	7	None	NA	0	NA	NA	T7	10483813	11481132	997319	NA	OA:SA (CHARGE)	CHARGE
ELOVL2	8	None	NA	0	NA	NA	T2	10483813	11481132	997319	NA	ADA:AA (CHARGE)	CHARGE
ELOVL2	9	None	NA	0	NA	NA	T6	10483813	11481132	997319	NA	GLA:LA (CHARGE)	CHARGE
ELOVL2	1	T7, T9, T12	0.5581	0.8102	rs1225717	0.8776	NA	10483813	11481132	997319	GLA:LA (Shin), POA:PA (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA	Shin
ELOVL2	2	T4, T5	0.621	0.6443	rs16870896	0.9979	NA	10483813	11481132	997319	DHA:DPAn3 (Shin), DPAn3:EPA (Shin)	NA	Shin
ELOVL2	3	None	NA	0.078	NA	NA	T1	10483813	11481132	997319	NA	AA:DGLA (Shin)	Shin
ELOVL2	4	None	NA	0.0026	NA	NA	T8	10483813	11481132	997319	NA	OA:SA (Shin)	Shin
ELOVL2	5	None	NA	0.002	NA	NA	T2	10483813	11481132	997319	NA	ADA:AA (Shin)	Shin
ELOVL2	6	None	NA	0.0016	NA	NA	T10	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	Shin
ELOVL2	7	None	NA	0.0015	NA	NA	T6	10483813	11481132	997319	NA	DPAn6:AA (Shin)	Shin
ELOVL2	8	None	NA	0.0013	NA	NA	T3	10483813	11481132	997319	NA	DGLA:GLA (Shin)	Shin
ELOVL2	1	T4, T12	0.8623	0.9256	rs8523	0.6564	NA	10483813	11481132	997319	DHA:DPAn3 (Framingham), ELOVL2 expression in Liver (GTEx) mac=74	NA	Framingham
ELOVL2	2	None	NA	0.0016	NA	NA	T10	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	Framingham
ELOVL2	3	None	NA	0.0012	NA	NA	T3	10483813	11481132	997319	NA	DGLA:GLA (Framingham)	Framingham
ELOVL2	4	None	NA	8e-04	NA	NA	T11	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Visceral_Omentum (GTEx) mac=74	Framingham
ELOVL2	5	None	NA	5e-04	NA	NA	T5	10483813	11481132	997319	NA	DPAn3:EPA (Framingham)	Framingham
ELOVL2	6	None	NA	0	NA	NA	T1	10483813	11481132	997319	NA	AA:DGLA (Framingham)	Framingham
ELOVL2	7	None	NA	0	NA	NA	T7	10483813	11481132	997319	NA	GLA:LA (Framingham)	Framingham
ELOVL2	8	None	NA	0	NA	NA	T6	10483813	11481132	997319	NA	DPAn6:AA (Framingham)	Framingham
ELOVL2	9	None	NA	0	NA	NA	T2	10483813	11481132	997319	NA	ADA:AA (Framingham)	Framingham
ELOVL2	10	None	NA	0	NA	NA	T9	10483813	11481132	997319	NA	POA:PA (Framingham)	Framingham
FADS1	1	T1, T6, T8, T9, T10, T12, T13	0.3909	0.5543	rs174546	1	NA	61046610	62040838	994228	AA:DGLA (CHARGE), GLA:LA (CHARGE), POA:PA (CHARGE), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	CHARGE
